brand,csv_name,naver_name,road,jibun,category,lat,lng,link,판정
투썸플레이스,,투썸플레이스 전주영화의거리점,전북특별자치도 전주시 완산구 전주객사5길 89 트윈팰리스A동,전북특별자치도 전주시 완산구 고사동 225 트윈팰리스A동 101호,"카페,디저트>카페",35.821986,127.1439987,,추가(CSV에 없음)
투썸플레이스,투썸플레이스진북점,투썸플레이스 전주진북점,전북특별자치도 전주시 덕진구 전주천동로 342,"전북특별자치도 전주시 덕진구 진북동 1047-8 디자인코엠 빌딩 2,3층","카페,디저트>카페",35.8248745,127.1323775,,확인
빽다방,,빽다방 전주교대점,전북특별자치도 전주시 완산구 전주천서로 69,"전북특별자치도 전주시 완산구 동서학동 16 2층, 3층","카페,디저트>테이크아웃커피",35.8101218,127.153779,,추가(CSV에 없음)
메가MGC커피,,메가MGC커피 동전주IC점,전북특별자치도 전주시 덕진구 전진로 48,전북특별자치도 전주시 덕진구 산정동 322-7 1층,"카페,디저트>카페",35.8420189,127.1741754,,추가(CSV에 없음)
스타벅스,스타벅스전주혁신도시,스타벅스 전주만성DT점,전북특별자치도 전주시 덕진구 정여립로 972,전북특별자치도 전주시 덕진구 만성동 581,"카페,디저트>카페",35.8366027,127.0779293,http://www.starbucks.co.kr/,확인
컴포즈커피,,컴포즈커피 전북사대부고점,전북특별자치도 전주시 덕진구 조경단로 105,전북특별자치도 전주시 덕진구 금암동 1546-7 1층 102호,"카페,디저트>카페",35.8436138,127.1384368,,추가(CSV에 없음)
메가MGC커피,,메가MGC커피 전북사대부고점,전북특별자치도 전주시 덕진구 조경단로 108,전북특별자치도 전주시 덕진구 금암동 632-153 1층 101호,"카페,디저트>카페",35.8439304,127.1387493,https://instagram.com/megajeonbuksadaebugojeom,추가(CSV에 없음)
투썸플레이스,투썸플레이스전주혁신호수공원점,투썸플레이스 전주혁신호수공원점,전북특별자치도 전주시 덕진구 중동로 104-12,"전북특별자치도 전주시 덕진구 장동 1093-3 1동 101, 102호","카페,디저트>카페",35.8431764,127.0645224,,확인
빽다방,,빽다방베이커리 전주기지제호수점,전북특별자치도 전주시 덕진구 중동로 104-16,"전북특별자치도 전주시 덕진구 장동 1093-1 1동 1층 101호, 102호","카페,디저트>테이크아웃커피",35.8435859,127.0644943,,추가(CSV에 없음)
이디야,이디야전주기지제호수점,이디야커피 전주기지제호수점,전북특별자치도 전주시 덕진구 중동로 104-6,전북특별자치도 전주시 덕진구 장동 1093-5 1층 101호,"카페,디저트>카페",35.8427563,127.0645018,https://blog.naver.com/ediya-coffee,확인
이디야,이디야 전주중산점,이디야커피 중산점,전북특별자치도 전주시 완산구 중산중앙로 7,전북특별자치도 전주시 완산구 중화산동2가 613-9,"카페,디저트>카페",35.8165923,127.1189159,https://blog.naver.com/ediya-coffee,확인
빽다방,,빽다방 전주중산점,전북특별자치도 전주시 완산구 중화산로 43,전북특별자치도 전주시 완산구 중화산동2가 446-9 상가 1층,"카페,디저트>테이크아웃커피",35.8141812,127.1178172,,추가(CSV에 없음)
메가MGC커피,,메가MGC커피 전주반월점,전북특별자치도 전주시 덕진구 쪽구름로 120,전북특별자치도 전주시 덕진구 반월동 422-22,"카페,디저트>카페",35.8741699,127.0721427,,추가(CSV에 없음)
빽다방,빽다방전주동산점,빽다방 전주동산점,전북특별자치도 전주시 덕진구 쪽구름로 58,전북특별자치도 전주시 덕진구 여의동2가 704-6,"카페,디저트>테이크아웃커피",35.8706007,127.0769798,,확인
빽다방,빽다방전주송천오송점,빽다방 전주송천오송점,전북특별자치도 전주시 덕진구 천마산로 52,전북특별자치도 전주시 덕진구 송천동1가 107-200 1층 102호,"카페,디저트>테이크아웃커피",35.8639268,127.1274627,http://paikdabang.com/,확인
스타벅스,스타벅스전주효천디티점,스타벅스 전주효천DT점,전북특별자치도 전주시 완산구 천잠로 149,전북특별자치도 전주시 완산구 효자동2가 778-2,"카페,디저트>카페",35.8007889,127.0993103,http://www.starbucks.co.kr/,확인
투썸플레이스,투썸전주서곡점,투썸플레이스 전주서곡점,전북특별자치도 전주시 완산구 천잠로 555,전북특별자치도 전주시 완산구 효자동3가 752-4 B동 1층,"카페,디저트>카페",35.8341168,127.09646,,확인
컴포즈커피,컴포즈커피호성점,컴포즈커피 전주소양천점,전북특별자치도 전주시 덕진구 초포다리로 190,전북특별자치도 전주시 덕진구 호성동1가 425-1,"카페,디저트>카페",35.872659,127.1575149,,확인
